number,lable,name,length,width,height,length/width,height/length,width/height,AvgCurvature,Ellipticity,Sphericity
128,Vignadula_mangle,ZAP19,4.231096983,7.686417103,3.399621964,0.55046414,0.803484765,2.260962303,0.178341929,7.775240577,0.810762878
129,Vignadula_mangle,ZAP20,3.516030073,6.05230999,3.540058017,0.580940183,1.006833828,1.709664068,0.155417032,7.491352838,0.822845908
130,Vignadula_mangle,ZAP24,0.036711002,0.046120999,0.068693999,0.795971515,1.871210152,0.671397792,0.160079316,7.706926039,0.833154419
131,Vignadula_mangle,ZAP6,2.988573074,5.632284164,4.032874942,0.530614754,1.349431599,1.396592814,0.204499167,7.480630405,0.829912294
132,Vignadula_mangle,ZAP7,3.702884138,5.842156887,3.629148006,0.633821414,0.980086838,1.609787442,0.185260206,7.771080697,0.846300417
133,Vignadula_mangle,ZAP9,4.728641033,6.745953083,3.050774097,0.700959668,0.645169315,2.211226681,0.204722338,7.574430714,0.802225463
134,Vignadula_mangle,ZAPB11,3.08214891,6.293125153,3.505116999,0.489764439,1.137231556,1.795410868,0.154523681,8.108508146,0.783093412
135,Vignadula_mangle,ZAPB13,3.034142971,5.853414059,4.000170946,0.518354407,1.31838578,1.463290979,0.194802828,8.038722219,0.817611785
136,Vignadula_mangle,ZAPB14,0.043684,0.079789001,0.034159001,0.547494007,0.7819568,2.335811916,0.187352667,8.244904355,0.800195141
137,Vignadula_mangle,ZAPB15,2.569764018,5.67403388,3.352566957,0.452898956,1.304620554,1.692444611,0.20754042,8.085497266,0.778678778
138,Vignadula_mangle,ZAPB17,3.490259051,5.198707104,2.373479962,0.671370589,0.680029742,2.190331153,0.196476441,7.803338312,0.831179399
139,Vignadula_mangle,ZAPB18,3.548498154,5.07502985,2.462661982,0.699207346,0.694001201,2.06079027,0.250909676,7.384042393,0.869243528
140,Vignadula_mangle,ZAPB19,0.028466999,0.050911,0.024557,0.559152232,0.862648017,2.073176649,0.188361142,7.692256888,0.836545987
141,Vignadula_mangle,ZAPB2,2.774237037,5.509876966,3.886075079,0.503502538,1.400772547,1.417851393,0.160179358,7.866353893,0.786306257
142,Vignadula_mangle,ZAPB20,2.443490982,4.998095036,3.393890977,0.488884458,1.38895171,1.47267401,0.227516777,7.935054668,0.747978297
143,Vignadula_mangle,ZAPB27,2.733877063,5.875957012,2.855072021,0.465264987,1.044330801,2.058076633,0.194083497,7.952087523,0.813172792
144,Vignadula_mangle,ZAPB28,2.165742993,5.065854073,3.165353954,0.42751784,1.461555671,1.600406825,0.187132026,7.755310723,0.815173904
145,Vignadula_mangle,ZAPB3,3.999615073,6.675282001,3.044124126,0.599167956,0.761104274,2.192841594,0.163983868,8.300684461,0.833938476
146,Vignadula_mangle,ZAPB4,4.895426035,6.239982128,3.113276005,0.78452565,0.635956091,2.004313822,0.208642956,8.233729293,0.767829398
147,Vignadula_mangle,ZAPB8,2.605167031,5.059254885,3.484892964,0.514930971,1.33768504,1.451767654,0.159670284,7.856741089,0.856289094
